station_numbers,station_names,station_addresses,station_pos,station_capacities,status
1,POIDS DE L'HUILE,12 RUE DU POIDS DE L'HUILE,"(1.445475, 43.60419)",19,OPEN
2,LAFAYETTE,21 RUE LAFAYETTE,"(1.445306, 43.604885)",24,OPEN
3,POMME,62 RUE DE LA POMME,"(1.445454, 43.603302)",18,OPEN
4,SAINTE-URSULE,15 RUE SAINTE-URSULE,"(1.442031, 43.602671)",20,OPEN
5,LEDUC,FACE AU 5 RUE RENE LEDUC,"(1.456729, 43.611386)",19,OPEN
6,LOIS,10 RUE DES LOIS,"(1.442323, 43.605161)",18,OPEN
7,PLACE VICTOR HUGO,6 RUE DU REMPART VILLENEUVE,"(1.446507, 43.605777)",25,OPEN
8,ESPACE SAINT-GEORGES,19 RUE PAUL VIDAL,"(1.448118, 43.603205)",25,OPEN
9,MAILLART - ROQUEMAUREL,RUE ROQUEMAUREL / ANGLE 3 RUE ANNE FRANCK,"(1.410505, 43.596069)",18,OPEN
10,PLACE ESQUIROL,15 PL ETIENNE ESQUIROL,"(1.444659, 43.600348)",44,OPEN
11,PLACE DE LA DAURADE,2 PL DE LA DAURADE,"(1.440368, 43.601888)",23,OPEN
12,PARGAMINIERES,66 RUE PARGAMINIERES,"(1.44002, 43.60459)",11,OPEN
13,LOIS - ESQUILE,1 RUE DE L ESQUILE,"(1.44135, 43.606146)",15,OPEN
14,PERIGORD,26 RUE DE PERIGORD,"(1.444699, 43.60742)",17,OPEN
15,PONT MONTAUDRAN,FACE AU 5 PORT SAINT-SAUVEUR,"(1.456584, 43.596411)",20,OPEN
16,STRASBOURG - BAYARD,32 BD DE STRASBOURG,"(1.446666, 43.607847)",21,OPEN
17,STRASBOURG - SARDANE,7 BD DE STRASBOURG,"(1.44769, 43.606499)",23,OPEN
18,STRASBOURG - JEAN JAURES,4 BD DE STRASBOURG,"(1.44813, 43.606346)",25,OPEN
19,CARNOT - SEPT TROUBADOURS,1 RUE DES 7 TROUBADOURS,"(1.449267, 43.605503)",24,OPEN
20,CARNOT - TROIS JOURNEES,69 BD LAZARE CARNOT,"(1.449586, 43.604677)",27,OPEN
21,CARNOT - LABEDA,63 BD LAZARE CARNOT,"(1.450158, 43.604079)",25,OPEN
22,CARNOT - PLACE ROLAND,24 BD LAZARE CARNOT,"(1.451719, 43.602914)",20,OPEN
