number,bike_stands,available_bike_stands,available_bikes,last_update
1,19,18,1,2024-08-01T05:58:40+00:00
1,19,19,0,2024-08-01T00:52:23+00:00
1,19,3,16,2024-08-01T14:58:49+00:00
1,19,19,0,2024-08-01T03:57:31+00:00
1,19,3,16,2024-08-01T10:55:35+00:00
1,19,7,12,2024-08-01T11:57:37+00:00
1,19,8,11,2024-08-01T18:58:27+00:00
1,19,10,9,2024-08-01T13:54:31+00:00
1,19,19,0,2024-08-01T04:58:04+00:00
1,19,19,0,2024-08-01T01:56:20+00:00
1,19,19,0,2024-08-01T22:00:30+00:00
1,19,10,9,2024-08-01T06:53:30+00:00
1,19,6,13,2024-08-01T09:51:19+00:00
1,19,17,2,2024-08-01T20:56:59+00:00
1,19,7,12,2024-08-01T16:56:44+00:00
1,19,19,0,2024-08-01T22:51:01+00:00
1,19,13,6,2024-08-01T19:49:36+00:00
1,19,4,15,2024-08-01T08:58:58+00:00
1,19,9,10,2024-08-01T07:56:59+00:00
1,19,5,14,2024-08-01T15:56:47+00:00
1,19,13,6,2024-08-01T17:57:39+00:00
1,19,19,0,2024-08-01T02:56:53+00:00
1,19,8,11,2024-08-01T12:55:58+00:00
3,18,17,0,2024-08-01T03:59:13+00:00
3,18,15,1,2024-08-01T17:56:47+00:00
3,18,2,15,2024-08-01T09:55:53+00:00
3,18,7,10,2024-08-01T15:58:13+00:00
3,18,11,5,2024-08-01T20:52:29+00:00
3,18,17,0,2024-08-01T04:59:49+00:00
3,18,17,0,2024-08-01T22:53:49+00:00
3,18,5,12,2024-08-01T14:57:15+00:00
3,18,17,0,2024-08-01T05:53:14+00:00
3,18,14,3,2024-08-01T07:56:55+00:00
3,18,14,3,2024-08-01T01:57:59+00:00
3,18,3,14,2024-08-01T13:56:34+00:00
3,18,3,14,2024-08-01T11:58:13+00:00
3,18,16,1,2024-08-01T02:58:35+00:00
3,18,13,3,2024-08-01T18:59:04+00:00
3,18,8,8,2024-08-01T19:52:50+00:00
3,18,4,13,2024-08-01T08:57:37+00:00
3,18,2,15,2024-08-01T12:56:44+00:00
3,18,15,2,2024-08-01T06:52:22+00:00
3,18,4,13,2024-08-01T16:59:01+00:00
3,18,17,0,2024-08-01T21:53:14+00:00
3,18,0,17,2024-08-01T10:54:26+00:00
3,18,17,0,2024-08-01T00:56:35+00:00
17,23,10,13,2024-08-01T15:57:43+00:00
17,23,6,17,2024-08-01T18:53:32+00:00
17,23,21,2,2024-08-01T06:55:04+00:00
17,23,23,0,2024-08-01T01:52:14+00:00
17,23,22,1,2024-08-01T22:57:37+00:00
17,23,20,3,2024-08-01T21:55:51+00:00
17,23,13,10,2024-08-01T07:55:41+00:00
17,23,2,21,2024-08-01T14:57:28+00:00
17,23,8,15,2024-08-01T19:54:24+00:00
17,23,8,15,2024-08-01T08:56:13+00:00
17,23,5,18,2024-08-01T13:52:31+00:00
17,23,23,0,2024-08-01T03:53:21+00:00
17,23,23,0,2024-08-01T00:56:46+00:00
17,23,23,0,2024-08-01T02:52:45+00:00
17,23,10,13,2024-08-01T10:58:34+00:00
17,23,15,8,2024-08-01T20:54:55+00:00
17,23,9,14,2024-08-01T12:59:01+00:00
17,23,5,18,2024-08-01T16:56:11+00:00
17,23,22,1,2024-08-01T04:55:33+00:00
17,23,11,12,2024-08-01T11:58:19+00:00
17,23,6,17,2024-08-01T10:00:05+00:00
17,23,5,18,2024-08-01T17:56:38+00:00
17,23,22,1,2024-08-01T05:56:31+00:00
23,26,25,1,2024-08-01T17:58:17+00:00
23,26,25,1,2024-08-01T11:57:32+00:00
23,26,24,2,2024-08-01T05:52:31+00:00
23,26,19,7,2024-08-01T07:51:58+00:00
23,26,25,1,2024-08-01T19:57:00+00:00
23,26,26,0,2024-08-01T18:50:24+00:00
23,26,26,0,2024-08-01T22:52:31+00:00
23,26,26,0,2024-08-01T01:58:22+00:00
23,26,25,1,2024-08-01T20:56:47+00:00
23,26,26,0,2024-08-01T02:58:55+00:00
23,26,26,0,2024-08-01T16:58:38+00:00
23,26,26,0,2024-08-01T05:00:04+00:00
23,26,26,0,2024-08-01T03:59:30+00:00
23,26,13,13,2024-08-01T14:56:56+00:00
23,26,14,12,2024-08-01T09:58:37+00:00
23,26,15,11,2024-08-01T08:55:47+00:00
23,26,20,6,2024-08-01T15:58:08+00:00
23,26,26,0,2024-08-01T13:56:12+00:00
23,26,22,4,2024-08-01T06:55:56+00:00
23,26,25,1,2024-08-01T12:55:33+00:00
23,26,26,0,2024-08-01T21:51:53+00:00
23,26,26,0,2024-08-01T00:53:54+00:00
23,26,16,10,2024-08-01T10:53:54+00:00
26,22,18,4,2024-08-01T22:58:39+00:00
26,22,20,0,2024-08-01T04:53:08+00:00
26,22,14,6,2024-08-01T08:56:14+00:00
26,22,8,14,2024-08-01T19:52:32+00:00
26,22,20,0,2024-08-01T05:53:43+00:00
26,22,15,7,2024-08-01T10:56:56+00:00
26,22,21,1,2024-08-01T14:49:25+00:00
26,22,18,4,2024-08-01T16:55:21+00:00
26,22,13,9,2024-08-01T21:53:49+00:00
26,22,21,1,2024-08-01T13:58:54+00:00
26,22,16,4,2024-08-01T06:54:23+00:00
26,22,20,0,2024-08-01T03:52:36+00:00
26,22,19,3,2024-08-01T17:51:14+00:00
26,22,20,0,2024-08-01T00:55:57+00:00
26,22,17,5,2024-08-01T09:56:17+00:00
26,22,20,0,2024-08-01T02:52:00+00:00
26,22,15,7,2024-08-01T18:51:51+00:00
26,22,11,11,2024-08-01T20:53:10+00:00
26,22,17,3,2024-08-01T07:55:02+00:00
26,22,20,0,2024-08-01T01:51:28+00:00
26,22,19,3,2024-08-01T11:57:38+00:00
26,22,21,1,2024-08-01T12:58:18+00:00
26,22,20,2,2024-08-01T15:53:26+00:00
27,22,21,0,2024-08-01T02:52:53+00:00
27,22,11,10,2024-08-01T17:56:57+00:00
27,22,15,6,2024-08-01T07:55:52+00:00
27,22,12,9,2024-08-01T10:57:43+00:00
27,22,7,14,2024-08-01T18:53:01+00:00
27,22,11,10,2024-08-01T16:56:02+00:00
27,22,14,7,2024-08-01T08:58:17+00:00
27,22,6,15,2024-08-01T20:54:27+00:00
27,22,14,7,2024-08-01T13:57:44+00:00
27,22,11,10,2024-08-01T14:52:43+00:00
27,22,21,0,2024-08-01T04:54:02+00:00
27,22,15,6,2024-08-01T06:55:19+00:00
27,22,21,0,2024-08-01T05:54:37+00:00
27,22,21,0,2024-08-01T00:50:14+00:00
27,22,13,8,2024-08-01T09:57:05+00:00
27,22,10,11,2024-08-01T15:53:19+00:00
