number,bike_stands,available_bike_stands,available_bikes,last_update
1,19,19,0,2024-08-02T00:52:11+00:00
3,18,17,0,2024-08-02T00:54:59+00:00
17,23,22,1,2024-08-02T00:57:39+00:00
23,26,25,1,2024-08-02T00:53:49+00:00
26,22,21,1,2024-08-02T00:55:57+00:00
27,22,21,0,2024-08-02T00:57:20+00:00
31,20,20,0,2024-08-02T00:57:45+00:00
34,22,22,0,2024-08-02T00:53:42+00:00
38,32,31,0,2024-08-02T00:55:41+00:00
41,21,11,8,2024-08-02T00:50:13+00:00
48,32,32,0,2024-08-02T00:58:05+00:00
52,21,6,15,2024-08-02T00:55:06+00:00
58,25,24,0,2024-08-02T00:51:21+00:00
61,40,35,1,2024-08-02T00:56:00+00:00
65,27,25,1,2024-08-02T00:49:59+00:00
73,16,9,7,2024-08-02T00:53:13+00:00
78,17,12,4,2024-08-02T00:55:12+00:00
79,20,9,10,2024-08-02T00:50:14+00:00
94,25,20,4,2024-08-02T00:58:46+00:00
102,19,12,7,2024-08-02T00:50:24+00:00
104,18,0,18,2024-08-02T00:52:39+00:00
108,20,8,12,2024-08-02T00:57:11+00:00
110,18,18,0,2024-08-02T00:57:27+00:00
112,20,5,14,2024-08-02T00:56:03+00:00
117,20,0,16,2024-08-02T00:56:59+00:00
127,15,8,7,2024-08-02T00:58:26+00:00
141,18,0,18,2024-08-02T00:49:50+00:00
146,20,0,17,2024-08-02T00:57:47+00:00
155,20,0,20,2024-08-02T00:56:27+00:00
156,18,3,15,2024-08-02T00:58:48+00:00
162,17,5,12,2024-08-02T00:58:00+00:00
167,18,0,16,2024-08-02T00:56:44+00:00
168,20,5,6,2024-08-02T00:56:04+00:00
172,20,13,7,2024-08-02T00:52:19+00:00
174,19,1,17,2024-08-02T00:57:06+00:00
179,17,7,10,2024-08-02T00:49:11+00:00
183,18,0,18,2024-08-02T00:52:00+00:00
186,18,17,0,2024-08-02T00:56:50+00:00
191,18,0,16,2024-08-02T00:50:11+00:00
192,20,5,15,2024-08-02T00:54:36+00:00
201,18,3,15,2024-08-02T00:56:18+00:00
202,17,7,9,2024-08-02T00:51:29+00:00
204,18,1,16,2024-08-02T00:54:19+00:00
210,18,8,10,2024-08-02T00:40:00+00:00
211,18,14,4,2024-08-02T00:58:01+00:00
213,17,17,0,2024-08-02T00:54:04+00:00
214,17,17,0,2024-08-02T00:51:36+00:00
219,18,0,18,2024-08-02T00:49:59+00:00
221,20,1,19,2024-08-02T00:49:06+00:00
222,20,16,2,2024-08-02T00:50:32+00:00
225,20,11,9,2024-08-02T00:54:04+00:00
227,32,30,2,2024-08-02T00:55:37+00:00
230,20,14,5,2024-08-02T00:55:52+00:00
235,19,14,5,2024-08-02T00:54:33+00:00
238,17,0,17,2024-08-02T00:56:59+00:00
240,18,4,14,2024-08-02T00:51:13+00:00
250,18,0,18,2024-08-02T00:58:45+00:00
253,20,7,11,2024-08-02T00:50:58+00:00
255,16,10,6,2024-08-02T00:54:07+00:00
258,18,18,0,2024-08-02T00:54:57+00:00
275,17,3,14,2024-08-02T00:53:24+00:00
278,18,15,3,2024-08-02T00:51:26+00:00
279,18,10,7,2024-08-02T00:58:17+00:00
285,18,14,4,2024-08-02T00:54:51+00:00
288,36,33,0,2024-08-02T00:51:28+00:00
339,13,11,0,2024-08-02T00:49:41+00:00
359,13,0,0,2024-08-02T00:55:25+00:00
368,13,12,0,2024-08-02T00:49:39+00:00
369,13,13,0,2024-08-02T00:55:41+00:00
381,13,13,0,2024-08-02T00:52:45+00:00
390,13,0,0,2024-08-02T00:54:42+00:00
